experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic256m,L2LN,0.0,400,0.123,1.0,1635696,0.0,0.0
ours-cpp,synthetic1b,L22,0.0,1200,0.208,1.0,4351616,0.0,0.0
ours-cpp,synthetic4m,mean,0.01,800,0.043,0.9929,364544,0.009,0.003
ours-cpp,synthetic16m,weightsum,0.0,1200,0.164,1.0,697572,0.0,0.0
ours-cpp,synthetic256m,max,0.1,1200,0.179,0.9943,1060772,0.005,0.002
ours-cpp,synthetic256m,L2LN,0.01,1000,0.211,0.9981,1384488,0.003,0.001
ours-cpp,synthetic512m,minus,0.01,400,0.073,0.9895,2222076,0.009,0.002
ours-cpp,synthetic2m,func1,0.0,800,0.009,1.0,411756,0.0,0.0
ours-cpp,synthetic64m,weightsum,0.1,200,0.021,0.979,416508,0.091,0.011
ours-cpp,synthetic512m,L2,0.0,1000,0.551,1.0,2667884,0.0,0.0
ours-cpp,synthetic64m,L2LN,0.01,1000,0.136,0.9966,702592,0.006,0.001
ours-cpp,synthetic16m,max,0.0,200,0.021,1.0,643768,0.0,0.0
ours-cpp,synthetic256m,L2,0.1,1200,0.164,0.9936,1060772,0.031,0.002
ours-cpp,sensordata,L2LN,0.01,600,0.164,0.9958,796748,0.006,0.003
ours-cpp,nycdata,L2,0.1,200,0.033,0.9875,330648,0.025,0.008
ours-cpp,synthetic512m,func1,0.01,400,0.023,1.0,2190736,0.0,0.0
ours-cpp,synthetic2m,multi,0.1,800,0.013,0.9766,118544,0.048,0.012
ours-cpp,synthetic4m,L22,0.01,1200,0.027,0.9952,422696,0.006,0.002
ours-cpp,nycdata,multi,0.01,800,0.035,0.9939,607896,0.009,0.003
ours-cpp,synthetic4m,minus,0.0,600,0.022,1.0,459964,0.0,0.0
ours-cpp,synthetic64m,weightsum,0.1,1000,0.098,0.9895,416508,0.051,0.004
ours-cpp,synthetic2m,variance,0.1,1200,0.046,0.9685,147056,0.069,0.016
ours-cpp,sensordata,mean,0.01,400,0.067,0.9999,721896,0.001,0.0
ours-cpp,synthetic256m,L2LN,0.0,800,0.232,1.0,1645896,0.0,0.0
ours-cpp,synthetic512m,weightsum,0.0,200,0.116,1.0,2679244,0.0,0.0
ours-cpp,soccerdata,plus,0.1,1200,0.038,0.9997,250100,0.0,0.0
ours-cpp,synthetic1m,func1,0.1,1200,0.012,1.0,96560,0.0,0.0
ours-cpp,synthetic4m,plus,0.01,200,0.005,0.9943,311752,0.008,0.003
ours-cpp,synthetic512m,weightsum,0.01,400,0.171,0.9948,2375192,0.009,0.002
ours-cpp,synthetic16m,boxcox0,0.1,1200,0.032,1.0,260236,0.0,0.0
ours-cpp,synthetic1b,multi,0.1,1000,0.117,0.9656,3602960,0.074,0.018
ours-cpp,synthetic1m,max,0.05,1200,0.015,0.9883,238052,0.012,0.006
ours-cpp,synthetic32m,plus,0.05,1200,0.043,0.9859,313728,0.027,0.006
ours-cpp,sensordata,mean,0.0,400,0.088,1.0,924608,0.0,0.0
ours-cpp,nycdata,L2,0.0,1000,0.177,1.0,926204,0.0,0.0
ours-cpp,synthetic2m,L22,0.01,1200,0.025,0.9939,397048,0.008,0.002
ours-cpp,synthetic512m,weightsum,0.05,800,0.247,0.9865,2152796,0.039,0.006
ours-cpp,synthetic256m,divide,0.01,1200,0.098,0.9997,1267824,0.001,0.0
ours-cpp,stockdata,variance,0.05,800,0.036,1.0,371560,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.05,800,0.011,1.0,268468,0.0,0.0
ours-cpp,synthetic16m,L2,0.05,1000,0.08,0.987,340608,0.039,0.006
ours-cpp,synthetic256m,mean,0.0,1200,0.435,1.0,1522308,0.0,0.0
ours-cpp,synthetic8m,L22,0.0,600,0.025,1.0,610156,0.0,0.0
ours-cpp,synthetic1m,boxcox0,0.0,1200,0.009,1.0,389824,0.0,0.0
ours-cpp,stockdata,divide,0.0,800,0.022,1.0,604896,0.0,0.0
ours-cpp,synthetic4m,L2LN,0.0,600,0.057,1.0,595200,0.0,0.0
ours-cpp,synthetic128m,multi,0.1,1000,0.065,0.9747,629996,0.052,0.013
ours-cpp,synthetic1b,boxcox0,0.1,800,0.035,1.0,3598040,0.0,0.0
ours-cpp,synthetic1b,max,0.1,1200,0.233,0.9938,3606412,0.005,0.003
ours-cpp,synthetic32m,multi,0.01,1000,0.045,0.9979,451716,0.003,0.001
ours-cpp,synthetic16m,multi,0.01,1000,0.035,0.9953,412508,0.007,0.002
ours-cpp,synthetic32m,boxcox0,0.01,200,0.004,1.0,411040,0.0,0.0
ours-cpp,synthetic1m,minus,0.01,400,0.006,0.9952,285792,0.005,0.001
ours-cpp,synthetic4m,weightsum,0.01,400,0.026,0.9954,404800,0.006,0.002
ours-cpp,synthetic2m,boxcox0,0.05,1200,0.01,1.0,190836,0.0,0.0
ours-cpp,soccerdata,L2,0.01,400,0.044,0.9967,655324,0.008,0.002
ours-cpp,synthetic256m,divide,0.0,600,0.064,1.0,1462216,0.0,0.0
ours-cpp,nycdata,variance,0.05,400,0.077,0.9951,475384,0.008,0.002
ours-cpp,synthetic256m,boxcox0,0.0,600,0.017,1.0,1391460,0.0,0.0
ours-cpp,synthetic256m,max,0.1,800,0.122,0.9935,1060772,0.006,0.003
ours-cpp,synthetic256m,L2,0.1,400,0.057,0.9884,1060772,0.045,0.005
ours-cpp,sensordata,func1,0.0,600,0.016,1.0,821940,0.0,0.0
ours-cpp,synthetic128m,L22,0.1,800,0.084,0.9788,636516,0.061,0.01
ours-cpp,soccerdata,plus,0.05,1200,0.037,0.9997,396644,0.0,0.0
ours-cpp,sensordata,mean,0.0,200,0.045,1.0,923220,0.0,0.0
ours-cpp,sensordata,boxcox0,0.1,1200,0.02,1.0,470988,0.0,0.0
ours-cpp,nycdata,weightsum,0.1,1200,0.168,0.9907,367620,0.012,0.004
ours-cpp,synthetic256m,multi,0.01,600,0.063,0.9962,1242972,0.01,0.001
ours-cpp,nycdata,L22,0.1,1000,0.031,0.9887,367884,0.016,0.006
ours-cpp,synthetic2m,mean,0.0,600,0.057,1.0,469940,0.0,0.0
ours-cpp,synthetic1m,func1,0.0,400,0.004,1.0,386212,0.0,0.0
ours-cpp,synthetic32m,plus,0.1,1000,0.03,0.9834,308256,0.032,0.008
ours-cpp,nycdata,boxcox0,0.1,1200,0.017,1.0,255168,0.0,0.0
ours-cpp,nycdata,boxcox0,0.01,400,0.007,1.0,592324,0.0,0.0
ours-cpp,synthetic16m,func1,0.0,600,0.011,1.0,526244,0.0,0.0
ours-cpp,synthetic32m,plus,0.05,200,0.009,0.9957,309468,0.008,0.002
ours-cpp,synthetic16m,L22,0.05,600,0.027,0.9969,355116,0.005,0.001
ours-cpp,synthetic256m,L22,0.01,200,0.02,0.9967,1359352,0.008,0.001
ours-cpp,synthetic256m,multi,0.05,600,0.04,0.9847,1101652,0.043,0.007
ours-cpp,synthetic4m,L2LN,0.0,200,0.024,1.0,590716,0.0,0.0
ours-cpp,synthetic32m,variance,0.01,200,0.031,0.9945,490200,0.007,0.002
ours-cpp,synthetic256m,variance,0.01,600,0.133,0.9957,1300040,0.006,0.002
ours-cpp,synthetic8m,L2,0.0,400,0.048,1.0,568976,0.0,0.0
ours-cpp,nycdata,L22,0.01,600,0.023,0.9927,715356,0.01,0.004
ours-cpp,synthetic1b,L2LN,0.01,800,0.286,0.9968,4053152,0.006,0.001
ours-cpp,synthetic1b,variance,0.05,600,0.196,0.9898,3744664,0.019,0.004
ours-cpp,synthetic2m,L2,0.1,200,0.006,0.9809,151808,0.097,0.01
ours-cpp,synthetic1m,max,0.0,600,0.011,1.0,468384,0.0,0.0
ours-cpp,synthetic4m,max,0.01,1000,0.03,0.9916,388732,0.008,0.004
ours-cpp,stockdata,variance,0.05,600,0.027,1.0,371296,0.0,0.0
ours-cpp,synthetic32m,L2LN,0.0,400,0.086,1.0,767224,0.0,0.0
ours-cpp,synthetic256m,L22,0.0,1200,0.129,1.0,1631692,0.0,0.0
ours-cpp,synthetic64m,divide,0.0,400,0.027,1.0,768568,0.0,0.0
ours-cpp,stockdata,func1,0.05,800,0.006,1.0,313016,0.0,0.0
ours-cpp,synthetic256m,L2LN,0.01,600,0.14,0.9972,1374876,0.004,0.001
ours-cpp,soccerdata,boxcox0,0.1,200,0.005,1.0,244452,0.0,0.0
ours-cpp,synthetic32m,max,0.0,800,0.084,1.0,695728,0.0,0.0
ours-cpp,synthetic32m,func1,0.1,400,0.008,1.0,308256,0.0,0.0
ours-cpp,synthetic64m,divide,0.01,400,0.022,1.0,588548,0.0,0.0
ours-cpp,stockdata,minus,0.05,400,0.006,1.0,320632,0.0,0.0
ours-cpp,synthetic32m,mean,0.01,800,0.126,0.9946,481064,0.007,0.002
ours-cpp,synthetic128m,minus,0.0,1000,0.093,1.0,1007948,0.0,0.0
ours-cpp,synthetic16m,max,0.01,200,0.017,0.9995,467012,0.001,0.0
ours-cpp,synthetic2m,L2LN,0.05,1000,0.036,0.9893,283712,0.033,0.005
ours-cpp,nycdata,minus,0.1,800,0.022,0.9814,263028,0.028,0.011
ours-cpp,synthetic2m,mean,0.01,600,0.033,0.9949,336740,0.008,0.002
ours-cpp,stockdata,func1,0.01,200,0.004,1.0,443524,0.0,0.0
ours-cpp,soccerdata,multi,0.0,200,0.011,1.0,769932,0.0,0.0
ours-cpp,sensordata,L2LN,0.1,1000,0.21,0.9787,523016,0.059,0.017
ours-cpp,synthetic1m,L22,0.1,800,0.012,0.9778,163660,0.044,0.011
ours-cpp,synthetic64m,L2LN,0.0,1000,0.214,1.0,940556,0.0,0.0
ours-cpp,soccerdata,func1,0.01,400,0.008,1.0,557956,0.0,0.0
ours-cpp,soccerdata,max,0.0,600,0.115,1.0,885028,0.0,0.0
ours-cpp,synthetic1b,L22,0.01,800,0.117,0.9964,4033776,0.006,0.001
ours-cpp,synthetic4m,plus,0.0,200,0.009,1.0,444260,0.0,0.0
ours-cpp,synthetic1b,plus,0.1,200,0.036,0.9881,3599060,0.028,0.006
ours-cpp,synthetic16m,func1,0.1,1200,0.033,1.0,260236,0.0,0.0
ours-cpp,stockdata,weightsum,0.1,400,0.021,0.9995,275564,0.001,0.0
ours-cpp,sensordata,L2,0.0,1200,0.156,1.0,964316,0.0,0.0
ours-cpp,synthetic2m,variance,0.0,200,0.021,1.0,487100,0.0,0.001
ours-cpp,synthetic8m,divide,0.1,1200,0.043,0.9952,170332,0.037,0.004
ours-cpp,stockdata,max,0.0,600,0.022,1.0,650432,0.0,0.0
ours-cpp,synthetic512m,mean,0.1,1000,0.318,0.9896,1941920,0.044,0.004
ours-cpp,synthetic1b,mean,0.01,600,0.203,0.9935,3931012,0.009,0.002
ours-cpp,sensordata,L2LN,0.01,1200,0.278,0.9955,821588,0.007,0.003
ours-cpp,synthetic16m,plus,0.05,200,0.007,0.982,268556,0.035,0.009
ours-cpp,synthetic64m,minus,0.01,400,0.021,0.9963,562500,0.007,0.001
ours-cpp,synthetic32m,boxcox0,0.01,800,0.015,1.0,412624,0.0,0.0
ours-cpp,synthetic256m,max,0.01,1000,0.147,0.9941,1320132,0.005,0.003
ours-cpp,synthetic512m,variance,0.1,400,0.205,0.9893,1944456,0.035,0.005
ours-cpp,synthetic1m,boxcox0,0.05,600,0.004,1.0,177916,0.0,0.0
ours-cpp,synthetic8m,func1,0.01,200,0.004,1.0,313408,0.0,0.0
ours-cpp,stockdata,mean,0.0,1000,0.065,1.0,633356,0.0,0.0
ours-cpp,synthetic64m,max,0.01,1000,0.1,0.9936,647464,0.006,0.003
ours-cpp,synthetic256m,L2,0.0,800,0.284,1.0,1571984,0.0,0.0
ours-cpp,synthetic16m,func1,0.05,1200,0.017,1.0,268468,0.0,0.0
ours-cpp,synthetic64m,minus,0.01,800,0.043,0.9973,566948,0.005,0.001
ours-cpp,soccerdata,minus,0.05,1000,0.032,0.9905,401116,0.011,0.004
ours-cpp,synthetic8m,L22,0.1,1200,0.045,0.9912,196316,0.015,0.003
ours-cpp,synthetic1b,weightsum,0.05,400,0.156,0.9879,3787136,0.024,0.005
ours-cpp,synthetic256m,divide,0.0,200,0.024,1.0,1459344,0.0,0.0
ours-cpp,synthetic64m,boxcox0,0.01,1200,0.024,1.0,546592,0.0,0.0
ours-cpp,nycdata,divide,0.05,1000,0.031,0.971,439576,0.045,0.019
ours-cpp,synthetic1m,L2LN,0.1,1000,0.016,0.9852,174220,0.046,0.006
ours-cpp,synthetic1b,multi,0.05,200,0.028,0.9867,3691688,0.036,0.007
ours-cpp,nycdata,multi,0.0,400,0.033,1.0,812244,0.0,0.0
ours-cpp,synthetic128m,mean,0.01,1000,0.227,0.9936,870140,0.009,0.002
ours-cpp,soccerdata,func1,0.1,200,0.006,1.0,244452,0.0,0.0
ours-cpp,synthetic32m,L22,0.1,800,0.03,0.9875,309468,0.022,0.005
ours-cpp,synthetic256m,L2,0.1,600,0.085,0.9911,1060772,0.04,0.003
ours-cpp,synthetic256m,max,0.01,200,0.04,0.9999,1317808,0.0,0.0
ours-cpp,synthetic8m,mean,0.01,800,0.053,0.9947,372000,0.007,0.002
ours-cpp,synthetic1b,weightsum,0.0,200,0.142,1.0,4304500,0.0,0.0
ours-cpp,sensordata,multi,0.0,400,0.041,1.0,877316,0.0,0.0
ours-cpp,synthetic32m,L2,0.05,1200,0.088,0.9914,383592,0.026,0.003
ours-cpp,synthetic512m,L2,0.1,600,0.117,0.9878,1944456,0.053,0.005
ours-cpp,synthetic32m,multi,0.0,1000,0.06,1.0,618792,0.0,0.0
ours-cpp,synthetic512m,variance,0.1,200,0.076,0.9865,1942764,0.042,0.007
ours-cpp,synthetic32m,multi,0.05,400,0.02,0.9973,324692,0.005,0.001
ours-cpp,synthetic2m,mean,0.01,1000,0.055,0.9945,346924,0.009,0.002
ours-cpp,synthetic4m,L22,0.01,600,0.016,0.9947,418248,0.008,0.002
ours-cpp,synthetic256m,func1,0.01,800,0.032,1.0,1202064,0.0,0.0
ours-cpp,synthetic1b,plus,0.1,400,0.067,0.9893,3599060,0.022,0.005
ours-cpp,synthetic1b,L2LN,0.05,1000,0.251,0.9865,3831248,0.03,0.007
ours-cpp,synthetic32m,L2LN,0.01,600,0.067,0.9961,556052,0.006,0.001
ours-cpp,synthetic2m,multi,0.1,200,0.003,0.962,116168,0.086,0.023
ours-cpp,stockdata,mean,0.05,1000,0.039,0.999,364984,0.001,0.0
ours-cpp,synthetic2m,L22,0.1,600,0.012,0.9701,172688,0.067,0.015
ours-cpp,sensordata,L22,0.01,400,0.042,0.9935,772136,0.009,0.004
ours-cpp,synthetic64m,plus,0.0,1200,0.09,1.0,732424,0.0,0.0
ours-cpp,nycdata,weightsum,0.05,1200,0.165,0.9907,533164,0.012,0.004
ours-cpp,synthetic1m,multi,0.01,800,0.01,0.9972,296880,0.006,0.001
ours-cpp,synthetic4m,max,0.0,400,0.019,1.0,537596,0.0,0.0
ours-cpp,sensordata,max,0.05,400,0.047,1.0,587848,0.0,0.0
ours-cpp,synthetic2m,minus,0.05,600,0.012,0.9925,200388,0.02,0.003
ours-cpp,synthetic64m,max,0.1,800,0.071,0.9929,416208,0.006,0.003
ours-cpp,synthetic128m,mean,0.1,400,0.093,0.9762,632692,0.093,0.012
ours-cpp,soccerdata,weightsum,0.0,1200,0.253,1.0,970028,0.0,0.0
ours-cpp,stockdata,L2,0.1,800,0.037,0.9998,266548,0.0,0.0
ours-cpp,synthetic4m,func1,0.0,800,0.01,1.0,440232,0.0,0.0
ours-cpp,soccerdata,func1,0.01,1000,0.017,1.0,558220,0.0,0.0
ours-cpp,stockdata,L22,0.1,800,0.014,1.0,288740,0.0,0.0
ours-cpp,synthetic8m,weightsum,0.0,1000,0.101,1.0,602236,0.0,0.0
ours-cpp,synthetic64m,L22,0.05,200,0.011,0.9788,523376,0.045,0.011
ours-cpp,synthetic64m,L22,0.0,1200,0.09,1.0,921228,0.0,0.0
ours-cpp,synthetic512m,divide,0.01,800,0.104,0.9998,2265920,0.001,0.0
ours-cpp,synthetic1b,weightsum,0.05,800,0.276,0.989,3793464,0.019,0.004
ours-cpp,synthetic128m,L2,0.0,1200,0.353,1.0,1153212,0.0,0.0
ours-cpp,nycdata,variance,0.0,400,0.111,1.0,879596,0.0,0.0
ours-cpp,synthetic16m,func1,0.1,600,0.018,1.0,260236,0.0,0.0
ours-cpp,stockdata,weightsum,0.01,600,0.029,0.9996,535160,0.001,0.0
ours-cpp,soccerdata,variance,0.1,400,0.049,0.9995,283708,0.001,0.0
ours-cpp,synthetic4m,minus,0.01,600,0.016,0.992,326796,0.007,0.002
ours-cpp,synthetic4m,func1,0.0,400,0.005,1.0,440232,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.05,800,0.022,1.0,1072564,0.0,0.0
ours-cpp,synthetic4m,divide,0.0,800,0.024,1.0,487140,0.0,0.0
ours-cpp,synthetic2m,func1,0.0,600,0.007,1.0,411756,0.0,0.0
ours-cpp,synthetic1m,L2,0.01,600,0.021,0.9953,346488,0.006,0.002
ours-cpp,synthetic1b,minus,0.0,400,0.084,1.0,4102504,0.0,0.0
ours-cpp,synthetic2m,plus,0.01,200,0.006,0.9972,291632,0.004,0.001
ours-cpp,synthetic64m,variance,0.01,1000,0.152,0.9944,637308,0.009,0.002
ours-cpp,sensordata,L2LN,0.0,1200,0.607,1.0,1088560,0.0,0.0
ours-cpp,synthetic2m,L22,0.0,200,0.009,1.0,545048,0.0,0.0
ours-cpp,synthetic16m,L2,0.05,400,0.039,0.9909,333044,0.019,0.004
ours-cpp,nycdata,L2LN,0.05,1000,0.305,0.9704,581216,0.05,0.021
ours-cpp,synthetic8m,L22,0.01,1000,0.029,0.999,431548,0.002,0.0
ours-cpp,synthetic512m,mean,0.0,1200,0.598,1.0,2594388,0.0,0.0
ours-cpp,stockdata,minus,0.05,1000,0.012,1.0,325084,0.0,0.0
ours-cpp,nycdata,func1,0.05,800,0.018,1.0,413988,0.0,0.0
ours-cpp,soccerdata,boxcox0,0.05,800,0.012,1.0,385096,0.0,0.0
ours-cpp,synthetic1b,func1,0.0,200,0.018,1.0,4065516,0.0,0.0
ours-cpp,soccerdata,plus,0.1,600,0.022,0.9998,245672,0.0,0.0
ours-cpp,synthetic2m,func1,0.01,1000,0.009,1.0,286880,0.0,0.0
ours-cpp,nycdata,minus,0.0,1000,0.042,1.0,808812,0.0,0.0
ours-cpp,synthetic4m,L2LN,0.0,800,0.072,1.0,600216,0.0,0.0
ours-cpp,stockdata,L2,0.05,600,0.029,0.9998,388188,0.0,0.0
ours-cpp,synthetic1b,multi,0.01,1000,0.164,0.9963,3899176,0.005,0.001
ours-cpp,synthetic1b,multi,0.1,800,0.087,0.9707,3602960,0.1,0.015
ours-cpp,stockdata,variance,0.1,400,0.02,1.0,244960,0.0,0.0
ours-cpp,synthetic128m,multi,0.0,600,0.055,1.0,1016904,0.0,0.0
ours-cpp,stockdata,divide,0.1,800,0.01,0.9453,211168,0.098,0.039
ours-cpp,soccerdata,mean,0.01,800,0.092,0.9964,622964,0.009,0.002
ours-cpp,soccerdata,multi,0.05,600,0.021,0.9947,406236,0.011,0.003
ours-cpp,synthetic1b,plus,0.05,1000,0.135,0.9906,3670092,0.017,0.004
ours-cpp,synthetic32m,plus,0.0,200,0.014,1.0,574404,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.05,400,0.006,1.0,268468,0.0,0.0
ours-cpp,sensordata,mean,0.01,1200,0.15,0.9999,735156,0.001,0.0
ours-cpp,synthetic128m,L2,0.1,800,0.186,0.9855,636344,0.047,0.006
ours-cpp,synthetic128m,plus,0.1,200,0.037,0.989,629996,0.023,0.005
ours-cpp,synthetic32m,L2,0.01,200,0.026,0.9956,511976,0.005,0.002
ours-cpp,synthetic32m,L22,0.01,400,0.02,0.9984,543356,0.003,0.001
ours-cpp,synthetic4m,multi,0.05,800,0.018,0.9953,225612,0.007,0.002
ours-cpp,synthetic16m,mean,0.01,400,0.044,0.9934,431660,0.008,0.002
ours-cpp,synthetic4m,variance,0.0,400,0.044,1.0,520472,0.0,0.0
ours-cpp,stockdata,L2,0.1,400,0.019,0.9998,259216,0.0,0.0
ours-cpp,synthetic128m,divide,0.1,1000,0.054,0.993,629996,0.016,0.006
ours-cpp,synthetic1m,minus,0.05,1000,0.013,0.9914,195116,0.01,0.002
ours-cpp,stockdata,L2LN,0.05,200,0.02,0.9793,419236,0.046,0.014
ours-cpp,synthetic256m,max,0.01,800,0.118,0.9935,1317808,0.006,0.003
ours-cpp,synthetic2m,boxcox0,0.1,1200,0.018,1.0,107172,0.0,0.0
ours-cpp,synthetic4m,divide,0.01,800,0.017,0.9998,348440,0.0,0.0
ours-cpp,stockdata,boxcox0,0.05,200,0.002,1.0,313280,0.0,0.0
ours-cpp,synthetic32m,mean,0.0,400,0.086,1.0,642536,0.0,0.0
ours-cpp,synthetic1b,minus,0.05,800,0.1,0.9948,3681528,0.011,0.002
ours-cpp,nycdata,L2,0.0,400,0.086,1.0,908592,0.0,0.0
ours-cpp,synthetic4m,weightsum,0.0,1000,0.082,1.0,575676,0.0,0.0
ours-cpp,synthetic4m,variance,0.05,800,0.042,0.9924,259492,0.015,0.003
ours-cpp,synthetic4m,plus,0.01,400,0.011,0.9947,313860,0.007,0.002
ours-cpp,synthetic1m,L2LN,0.0,600,0.033,1.0,517956,0.0,0.0
ours-cpp,synthetic2m,weightsum,0.0,400,0.035,1.0,528944,0.0,0.0
ours-cpp,synthetic8m,plus,0.0,600,0.024,1.0,460024,0.0,0.0
ours-cpp,synthetic128m,divide,0.0,1000,0.085,1.0,1042232,0.0,0.0
ours-cpp,synthetic64m,divide,0.0,600,0.041,1.0,770152,0.0,0.0
ours-cpp,synthetic16m,divide,0.1,600,0.024,0.9992,265536,0.001,0.0
ours-cpp,synthetic2m,multi,0.05,1000,0.016,0.9791,213032,0.042,0.01
ours-cpp,synthetic1b,variance,0.0,200,0.131,1.0,4225216,0.0,0.001
ours-cpp,soccerdata,max,0.1,1000,0.066,0.9953,299684,0.011,0.004
ours-cpp,synthetic16m,mean,0.1,600,0.042,0.9839,265536,0.053,0.007
ours-cpp,synthetic1b,mean,0.05,1000,0.24,0.9856,3737948,0.046,0.006
ours-cpp,synthetic8m,func1,0.0,200,0.003,1.0,451048,0.0,0.0
ours-cpp,synthetic4m,divide,0.01,1000,0.021,0.9999,351608,0.0,0.0
ours-cpp,synthetic4m,variance,0.0,1200,0.107,1.0,537596,0.0,0.0
ours-cpp,synthetic4m,max,0.01,1200,0.037,0.9923,391108,0.007,0.003
ours-cpp,synthetic256m,boxcox0,0.1,200,0.005,1.0,1057880,0.0,0.0
ours-cpp,nycdata,func1,0.1,400,0.009,1.0,255168,0.0,0.0
ours-cpp,sensordata,func1,0.1,400,0.009,1.0,470988,0.0,0.0
ours-cpp,synthetic16m,L22,0.01,600,0.024,0.9969,502232,0.005,0.001
ours-cpp,synthetic1m,plus,0.1,200,0.003,0.9673,96560,0.091,0.018
ours-cpp,synthetic32m,weightsum,0.05,400,0.046,0.9902,384068,0.017,0.004
ours-cpp,soccerdata,L2LN,0.05,400,0.133,0.9741,520720,0.049,0.022
ours-cpp,synthetic64m,divide,0.05,400,0.019,0.9994,450220,0.027,0.0
ours-cpp,synthetic1m,plus,0.05,800,0.006,0.9782,187096,0.05,0.01
ours-cpp,soccerdata,plus,0.1,800,0.027,0.9997,249572,0.0,0.0
ours-cpp,synthetic32m,minus,0.01,400,0.021,0.995,432212,0.004,0.001
ours-cpp,synthetic1m,weightsum,0.05,400,0.012,0.9867,249800,0.023,0.006
ours-cpp,soccerdata,boxcox0,0.1,1200,0.026,1.0,244452,0.0,0.0
ours-cpp,synthetic64m,L22,0.05,1200,0.052,0.9841,527600,0.025,0.008
ours-cpp,synthetic1m,divide,0.01,1200,0.014,0.9998,309808,0.0,0.0
ours-cpp,synthetic8m,mean,0.1,400,0.036,0.9872,170332,0.061,0.006
ours-cpp,synthetic4m,L2LN,0.1,200,0.014,0.9782,186124,0.081,0.012
ours-cpp,soccerdata,L2,0.1,800,0.084,0.9975,309616,0.007,0.001
ours-cpp,synthetic4m,plus,0.05,800,0.018,0.9923,206508,0.014,0.003
ours-cpp,synthetic1b,max,0.05,200,0.051,0.9877,3761692,0.014,0.007
ours-cpp,nycdata,multi,0.01,1200,0.049,0.9936,611856,0.009,0.003
ours-cpp,synthetic1m,minus,0.01,600,0.009,0.9956,286848,0.005,0.001
ours-cpp,synthetic64m,L22,0.05,1000,0.049,0.9838,524960,0.027,0.008
ours-cpp,synthetic1m,weightsum,0.01,600,0.018,0.9941,357312,0.01,0.002
ours-cpp,synthetic8m,L2LN,0.01,400,0.027,0.9962,436024,0.008,0.002
ours-cpp,sensordata,boxcox0,0.1,800,0.014,1.0,470988,0.0,0.0
ours-cpp,synthetic512m,variance,0.01,200,0.088,0.9958,2316044,0.005,0.002
ours-cpp,synthetic128m,weightsum,0.05,800,0.141,0.9905,751792,0.018,0.004
ours-cpp,synthetic4m,L2LN,0.01,400,0.024,0.9951,424536,0.007,0.002
ours-cpp,stockdata,weightsum,0.05,1000,0.046,0.9997,411316,0.0,0.0
ours-cpp,nycdata,multi,0.0,1200,0.072,1.0,823596,0.0,0.0
ours-cpp,synthetic8m,plus,0.0,800,0.032,1.0,462928,0.0,0.0
ours-cpp,synthetic512m,minus,0.05,1000,0.126,0.9782,2034264,0.046,0.008
ours-cpp,synthetic8m,mean,0.0,400,0.057,1.0,515012,0.0,0.0
ours-cpp,synthetic4m,L2,0.05,800,0.027,0.9875,274452,0.05,0.005
ours-cpp,synthetic1m,multi,0.01,1200,0.014,0.9977,302420,0.004,0.001
ours-cpp,synthetic4m,L2LN,0.05,800,0.03,0.986,301192,0.038,0.006
ours-cpp,synthetic1m,variance,0.1,800,0.036,0.9846,138380,0.05,0.007
ours-cpp,synthetic1b,divide,0.1,1000,0.095,0.9995,3602960,0.029,0.0
ours-cpp,soccerdata,func1,0.1,800,0.018,1.0,244452,0.0,0.0
ours-cpp,synthetic8m,multi,0.05,400,0.016,0.9968,230504,0.005,0.001
ours-cpp,synthetic4m,boxcox0,0.0,600,0.007,1.0,440716,0.0,0.0
ours-cpp,synthetic8m,max,0.05,800,0.032,0.9941,272760,0.005,0.002
ours-cpp,synthetic8m,boxcox0,0.01,1200,0.013,1.0,317464,0.0,0.0
ours-cpp,synthetic1b,L2,0.01,600,0.198,0.9968,3989340,0.004,0.001
ours-cpp,soccerdata,mean,0.01,400,0.051,0.9961,614896,0.01,0.002
ours-cpp,synthetic128m,variance,0.01,1200,0.217,0.9942,893016,0.007,0.002
ours-cpp,synthetic512m,plus,0.0,1000,0.181,1.0,2462128,0.0,0.0
ours-cpp,sensordata,variance,0.0,600,0.109,1.0,941736,0.0,0.0
ours-cpp,synthetic512m,multi,0.05,1200,0.105,0.9784,2053720,0.046,0.01
ours-cpp,synthetic64m,plus,0.1,600,0.04,0.9803,415232,0.051,0.01
ours-cpp,synthetic16m,divide,0.1,1200,0.039,0.9929,265536,0.075,0.004
ours-cpp,synthetic128m,mean,0.05,1200,0.259,0.9893,713724,0.019,0.004
ours-cpp,synthetic512m,divide,0.01,400,0.05,0.9998,2259680,0.001,0.0
ours-cpp,synthetic512m,L22,0.01,200,0.031,0.9958,2395052,0.008,0.002
ours-cpp,synthetic32m,minus,0.1,800,0.024,0.971,308256,0.043,0.011
ours-cpp,stockdata,plus,0.05,400,0.006,1.0,313576,0.0,0.0
ours-cpp,synthetic16m,mean,0.01,200,0.033,0.9935,430208,0.008,0.003
ours-cpp,synthetic16m,L2,0.0,1200,0.179,1.0,677772,0.0,0.0
ours-cpp,synthetic16m,L22,0.01,200,0.01,0.9951,500912,0.009,0.002
