method,data,function,width,sqltime,memory(GB)
DUCK-F-AM4,synthetic128m,L2,1200,1.756,4.451503753662109
DUCK-F-AM4,synthetic128m,max,1200,1.244,3.776012420654297
DUCK-F-AM4,synthetic128m,mean,1200,1.062,2.436798095703125
DUCK-F-AM4,synthetic128m,minus,1200,0.909,0.7745132446289062
DUCK-F-AM4,synthetic128m,multi,1200,0.851,1.2621078491210938
DUCK-F-AM4,synthetic128m,plus,1200,0.87,2.739173889160156
DUCK-F-AM4,synthetic128m,variance,1200,2.211,3.112865447998047
DUCK-F-AM4,synthetic128m,weightsum,1200,1.04,1.6071052551269531
DUCK-F-AM4,synthetic16m,boxcox0,1200,0.163,0.61236572265625
DUCK-F-AM4,synthetic16m,devide,1200,0.155,0.5280265808105469
DUCK-F-AM4,synthetic16m,func1,1200,0.167,0.56439208984375
DUCK-F-AM4,synthetic16m,L22,1200,0.188,0.5732383728027344
DUCK-F-AM4,synthetic16m,L2LN,1200,0.35,0.6699256896972656
DUCK-F-AM4,synthetic16m,L2,1200,0.276,0.4252700805664062
DUCK-F-AM4,synthetic16m,max,1200,0.202,0.8038864135742188
DUCK-F-AM4,synthetic16m,mean,1200,0.181,0.6173591613769531
DUCK-F-AM4,synthetic16m,minus,1200,0.147,0.396209716796875
DUCK-F-AM4,synthetic16m,multi,1200,0.136,0.4686927795410156
DUCK-F-AM4,synthetic16m,plus,1200,0.145,0.3477973937988281
DUCK-F-AM4,synthetic16m,variance,1200,0.345,0.7169418334960938
DUCK-F-AM4,synthetic16m,weightsum,1200,0.177,0.5152244567871094
DUCK-F-AM4,synthetic1b5v,boxcox0,1200,7.922,67.87112426757812
DUCK-F-AM4,synthetic1b5v,devide,1200,6.364,34.80256652832031
DUCK-F-AM4,synthetic1b5v,func1,1200,43.978,62.03009033203125
DUCK-F-AM4,synthetic1b5v,L22,1200,8.109,82.26349639892578
DUCK-F-AM4,synthetic1b5v,L2LN,1200,14.624,90.35381698608398
DUCK-F-AM4,synthetic1b5v,L2,1200,12.011,67.10944366455078
DUCK-F-AM4,synthetic1b5v,max,1200,9.373,59.024173736572266
DUCK-F-AM4,synthetic1b5v,mean,1200,9.634,42.875953674316406
DUCK-F-AM4,synthetic1b5v,minus,1200,6.396,20.68876266479492
DUCK-F-AM4,synthetic1b5v,multi,1200,6.684,27.756526947021484
DUCK-F-AM4,synthetic1b5v,plus,1200,6.892,13.618450164794922
DUCK-F-AM4,synthetic1b5v,variance,1200,13.959,50.95616149902344
DUCK-F-AM4,synthetic1b5v,weightsum,1200,7.73,75.19734191894531
DUCK-F-AM4,synthetic1m,boxcox0,1200,0.027,0.2285995483398437
